090210_CF43BK	0.62126	0.84759	0.0072041	158.93
090210_GC57FK	0.59374	0.73272	0.027219	152.48
090211_DC87QK	0.73125	1.1843	-0.03753	168.29
090211_HR89FK	0.66621	1.0484	-0.022162	185.12
090211_SZ63GK	0.6816	1.0562	-0.0087668	211.63
090214_CA84XB	0.76877	0.95427	0.028958	162.05
090214_HS87KB	0.75124	1.2125	-0.018628	225.43
090214_NN86RB	0.80157	1.1207	-0.012235	230.875
090214_RV76RK	0.78867	1.1114	0.017451	224.275
090214_TE76SB	0.77133	1.1219	-0.014425	165.09
090214_VQ69QK	0.75545	0.99051	-0.012911	208.625
090216_XK24MB	0.69815	1.0374	-0.010608	148.52
090216_XP68VB	0.72098	1.2049	-0.03686	255.24
090217_EN45VB	0.63835	0.86273	0.013069	127.66
090218_TW84WK	0.66495	0.95465	-0.015928	133.18
090221_ND85BB	0.71536	0.95017	-0.0010808	173.08
090221_NR59HB	0.78164	1.2204	-0.03615	185.215
090221_XQ67GB	0.72523	0.89617	0.03566	136.93
090224_QE54CK	0.75956	1.1345	-0.0060135	204.76
090224_RK25SK	0.71775	0.85478	0.0012314	188.69
090225_WP46YK	0.7412	1.2329	-0.045043	219.68
090226_QR36KK	0.66988	1.0362	0.0025264	76.75
090227_VW83RK	0.73309	1.5088	-0.052436	169.03
090302_BX75NB	0.63228	0.88248	0.0048729	135.30
090302_XP39SK	0.67687	1.102	-0.01386	202.13
090303_EU65FK	0.69733	0.98839	-0.007283	225.45
090304_ER76HB	0.69162	1.0944	-0.033373	216.31
090304_NC99VB	0.73199	1.2428	-0.024913	146.39
090305_ZC33CB	0.76486	1.1886	0.00011198	179.11
090307_NT82KB	0.73809	0.97749	-0.015611	208.975
090307_TK36VK	0.78495	1.0469	-0.014453	192.98
090310_BV32QK	0.75201	1.0823	-0.0063474	256.18
090310_MC47GB	0.75416	0.95336	0.017932	153.77
090311_BX84YB	0.66464	0.97939	-0.03059	194.51
090311_SR56QB	0.64977	0.95518	-0.030591	154.65
090314_CR35BB	0.74866	0.96941	0.015548	177.845
090314_KK88XB	0.61516	0.78201	0.011978	147.74
090314_VN49EK	0.70279	1.0765	-0.022852	162.38
090316_DY32SB	0.7675	1.0942	-0.013019	123.05
090316_SM56RK	0.67055	0.97226	-0.018864	144.45
090317_NQ74PB	0.73661	1.1323	-0.00029038	175.41
090317_YQ55DB	0.72657	1.0841	-0.018915	206.97
090318_MD74MB	0.67801	0.9657	0.018572	216.80
090318_RF72RK	0.69961	1.0458	0.025562	145.49
090318_VS96JK	0.69684	0.95428	-0.0094974	156.80
090319_MU78QB	0.60137	0.6932	0.0024179	171.45
090321_CE85DB	0.76408	1.1896	-0.023886	221.865
090321_EG36WK	0.78635	1.049	-0.026241	205.855
090321_VF48WB	0.77564	1.1103	-0.028664	266.45
090324_VR67VB	0.73987	1.0319	0.00492	161.1
090325_BG97NB	0.66214	0.90185	-0.0014161	118.15
090325_KW73UK	0.70921	1.1287	-0.012522	152.17
090326_VG65GK	0.72449	1.111	-0.031322	228.12
090327_PK44JK	0.69299	1.0061	-0.014816	173.01
090328_AG44ZK	0.75956	1.0619	0.0050454	166.82
090328_CX62YK	0.69898	0.8569	0.013095	191.535
090328_EG97BK	0.79443	1.0619	0.032486	175.355
090328_EX53FK	0.74698	0.93124	-0.014396	248.605
090328_GW85MK	0.6627	0.81991	0.026412	111.24
090328_HE33GB	0.66355	0.78919	0.16662	95.825
